% timestamp,frame id,x,y,z,qx,qy,qz,qw
1615300348.362890959,0,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,1.000000000
1615300348.862895966,1,-0.039621829,-0.039811676,-0.015012799,-0.022384544,0.015786627,-0.001547183,0.999623590
1615300377.863035440,2,-0.096998947,-0.257875567,-0.082184727,-0.131358684,0.033394884,0.278814708,0.950732368
1615300382.866271973,3,-0.332493566,-0.425034917,-0.179274808,-0.127177729,0.061858599,0.257450881,0.955886177
1615300391.363095999,4,-0.441719518,-0.359428738,0.081828510,-0.111501883,-0.011981856,0.287662749,0.951143474
1615300399.863161802,5,-0.463034155,-0.260582143,-0.122166415,-0.156290083,0.054159410,0.300890852,0.939204378
1615300401.863149643,6,-0.269563810,-0.085688752,-0.148519922,-0.145493523,0.050975092,0.304747440,0.939873488
1615300403.863793373,7,0.031605113,-0.057785171,-0.015270723,-0.212430185,-0.007834329,0.153341416,0.965038056
1615300405.363184929,8,0.172549501,0.041354506,0.010641435,-0.137392218,-0.023762357,0.019991940,0.990029823
1615300407.363522768,9,0.363224579,0.035312824,-0.012926700,-0.129471904,-0.026602092,-0.113248166,0.984735603
1615300414.363313675,10,0.542506860,0.111996599,-0.306637676,-0.131875597,0.004402990,-0.262039605,0.955994083
1615300430.863295794,11,0.617111585,0.355745078,-0.198047605,-0.100044666,-0.028909424,-0.255849304,0.961091277
1615300441.363340378,12,0.625362994,0.232841516,-0.249015789,-0.138773832,0.069279946,-0.227712261,0.961295604
1615300444.365211487,13,0.486440176,0.316364420,-0.139081471,-0.147879737,0.039866432,-0.193600383,0.969051672
1615300450.865303755,14,0.259841210,0.396148794,-0.187277137,-0.145466286,0.067548602,-0.159642102,0.974059108
1615300452.365259409,15,0.086776307,0.492375723,-0.181889356,-0.136963017,0.044197923,-0.174534802,0.974076629
1615300459.862560034,16,-0.013649700,0.679952126,-0.182020984,-0.099139246,0.058811215,-0.058714067,0.991597352
1615300460.862527847,17,-0.135093040,0.706769376,-0.125583219,-0.159890083,0.048584138,0.018900824,0.985757324
1615300463.362571239,18,-0.411067517,0.791320476,-0.137966448,-0.157101226,0.011551162,0.089503294,0.983450525
1615300465.362581015,19,-0.799506724,0.894908146,-0.290037646,-0.072029442,0.060921366,0.127968949,0.987281264
1615300466.362537384,20,-1.137590181,0.748941006,-0.308784189,-0.123679079,0.101620671,0.168887582,0.972550106
1615300467.364069939,21,-1.393245646,0.605163328,-0.301467291,-0.173045394,0.124773962,0.195910753,0.957134122
1615300468.365790129,22,-1.682364480,0.639854537,-0.339859252,-0.095113298,0.164172435,0.226981950,0.955238225
1615300487.376209497,23,-1.551962235,0.775384562,-0.431354769,-0.105989674,0.182570054,0.069992553,0.974954054
1615300495.366329670,24,-1.316444009,0.685386102,-0.425022801,-0.139936570,0.174852581,-0.030189997,0.974131868
1615300496.366487265,25,-1.084328255,0.743092045,-0.494252106,-0.069279962,0.160973982,-0.096299526,0.979803075
1615300510.862384558,26,-0.831799903,0.713239485,-0.578216201,-0.078668903,0.120178170,-0.035356929,0.988998634
1615300513.862358570,27,-0.750819913,0.782408582,-0.684310573,-0.065868883,0.163126415,0.062835220,0.982396457
1615300523.862421513,28,-0.847344399,0.894138967,-0.433642829,-0.048861255,0.043473251,0.108173545,0.991978396
1615300526.362437010,29,-0.613521575,0.975815762,-0.543397981,-0.043164095,0.028370083,0.115089130,0.992011336
1615300535.862493038,30,-0.414915700,1.122311581,-0.506575492,-0.012472969,0.061329814,0.050410137,0.996765718
1615300539.361447096,31,-0.626199001,1.083746399,-0.442340686,-0.032010226,0.026126298,0.095407123,0.994580436
1615300542.861464977,32,-0.901952743,1.097667632,-0.345527672,-0.017558306,0.073339560,0.148717178,0.986000109
1615300548.861493587,33,-0.714280342,1.116576549,-0.364392913,-0.039268268,0.083094401,0.096494387,0.991081307
1615300579.863341570,34,-0.731792583,1.236422253,-0.189240824,-0.057233007,0.057912268,0.183074740,0.979721487
1615300582.363355398,35,-0.568612460,1.422754000,-0.209406643,-0.029577423,0.002265513,0.265729465,0.963591145
1615300590.863399267,36,-0.595777497,1.463730356,-0.926144258,-0.057918409,0.141540365,0.124512562,0.980361364
1615300598.363441229,37,-0.480002516,1.495333543,-0.866664783,-0.065973385,0.155286023,-0.068534412,0.983278596
1615300627.863580704,38,-0.431955897,1.760004358,-0.966445769,-0.068143885,0.124145138,-0.140588002,0.979887447
1615300640.863648653,39,-0.593311563,1.856115799,-0.984644462,-0.073209546,0.121518409,-0.089699437,0.985813192
1615300652.363710403,40,-0.779722757,1.937161849,-0.963504542,-0.068460225,0.115251980,-0.090681440,0.986816627
1615300668.363794088,41,-0.911028852,1.802854801,-0.988824273,-0.071091512,0.113351654,-0.117642089,0.984000883
1615300686.363871813,42,-1.035248548,1.629284017,-0.980451425,-0.067740752,0.105528860,-0.116881290,0.985197246
1615300700.363941669,43,-1.165432722,1.450014604,-0.953956037,-0.077558142,0.108051744,-0.110382980,0.984949315
1615300710.363991022,44,-1.294057977,1.297766487,-0.939291103,-0.074236794,0.116761165,-0.121147279,0.982944081
1615300719.364036322,45,-1.435549377,1.185602420,-0.914067803,-0.070737389,0.116466039,-0.151301324,0.979050455
1615300729.864088058,46,-1.544110600,1.051204406,-0.865283134,-0.073334478,0.117868074,-0.208115101,0.968203117
1615300736.864123821,47,-1.702992385,0.948460721,-0.835734469,-0.076881938,0.115739640,-0.253410339,0.957327898
1615300745.364167690,48,-1.833374367,0.850043814,-0.808597064,-0.079628883,0.114541197,-0.318026774,0.937762511
